year;stars;forks;language
2017;0;0;Rust
2018;0;0;Rust
2019;15;1;Rust
2020;129;4;Rust
2021;0;0;Rust
2022;44;5;Rust
2023;100;21;Rust
2024;227;23;Rust
2025;429;16;Rust
2013;0;0;Scala
2016;0;0;Scala
2017;0;0;Scala
2018;0;0;Scala
2019;0;0;Scala
2020;20;3;Scala
2021;0;0;Scala
2022;20;16;Scala
2023;0;0;Scala
2024;77;11;Scala
2025;2087;692;Scala
2013;0;0;Shell
2016;0;0;Shell
2017;98;33;Shell
2018;0;0;Shell
2019;49;9;Shell
2020;415;119;Shell
2021;94;27;Shell
2022;24;12;Shell
2023;304;35;Shell
2024;287;58;Shell
2025;1823;557;Shell
2013;0;0;Standard ML
2016;0;0;Standard ML
2017;21;9;Standard ML
2018;0;0;Standard ML
2019;0;0;Standard ML
2020;0;0;Standard ML
2021;0;0;Standard ML
2022;0;0;Standard ML
2023;0;0;Standard ML
2024;0;0;Standard ML
2025;0;0;Standard ML
2013;0;0;Svelte
2016;0;0;Svelte
2017;0;0;Svelte
2018;0;0;Svelte
2019;0;0;Svelte
2020;0;0;Svelte
2021;0;0;Svelte
2022;0;0;Svelte
2023;0;0;Svelte
2024;105;15;Svelte
2025;0;0;Svelte
2013;0;0;TeX
2016;74;12;TeX
2017;0;0;TeX
2018;0;0;TeX
2019;11;7;TeX
2020;205;34;TeX
2021;0;0;TeX
2022;0;0;TeX
2023;0;0;TeX
2024;72;5;TeX
2025;0;0;TeX
2013;0;0;TypeScript
2016;0;0;TypeScript
2017;0;0;TypeScript
2018;0;0;TypeScript
2019;0;0;TypeScript
2020;0;0;TypeScript
2021;0;0;TypeScript
2022;18;5;TypeScript
2023;0;0;TypeScript
2024;79;19;TypeScript
2025;0;0;TypeScript
2013;0;0;Vim script
2016;0;0;Vim script
2017;16;2;Vim script
2018;0;0;Vim script
2019;0;0;Vim script
2020;0;0;Vim script
2021;0;0;Vim script
2022;0;0;Vim script
2023;0;0;Vim script
2024;0;0;Vim script
2025;0;0;Vim script
2013;0;0;Vue
2016;0;0;Vue
2017;0;0;Vue
2018;0;0;Vue
2019;0;0;Vue
2020;0;0;Vue
2021;0;0;Vue
2022;30;3;Vue
2023;0;0;Vue
2024;0;0;Vue
2025;0;0;Vue
2013;0;0;Zig
2016;0;0;Zig
2017;0;0;Zig
2018;0;0;Zig
2019;0;0;Zig
2020;0;0;Zig
2021;20;0;Zig
2022;0;0;Zig
2023;0;0;Zig
2024;0;0;Zig
2025;0;0;Zig
2013;0;0;mupad
2016;0;0;mupad
2017;0;0;mupad
2018;0;0;mupad
2019;0;0;mupad
2020;0;0;mupad
2021;0;0;mupad
2022;0;0;mupad
2023;0;0;mupad
2024;99;16;mupad
2025;0;0;mupad
2013;0;0;q
2016;0;0;q
2017;0;0;q
2018;0;0;q
2019;0;0;q
2020;0;0;q
2021;0;0;q
2022;0;0;q
2023;0;0;q
2024;96;50;q
2025;0;0;q
2013;0;0;wdl
2016;0;0;wdl
2017;0;0;wdl
2018;0;0;wdl
2019;0;0;wdl
2020;0;0;wdl
2021;52;20;wdl
2022;0;0;wdl
2023;0;0;wdl
2024;0;0;wdl
2025;0;0;wdl
