year;stars;forks;language
2018;0;0;Objective-C
2019;0;0;Objective-C
2020;455;90;Objective-C
2021;0;0;Objective-C
2022;259;42;Objective-C
2023;0;0;Objective-C
2024;0;0;Objective-C
2025;0;0;Objective-C
2012;0;0;Objective-C++
2013;0;0;Objective-C++
2014;0;0;Objective-C++
2015;0;0;Objective-C++
2016;0;0;Objective-C++
2017;0;0;Objective-C++
2018;0;0;Objective-C++
2019;0;0;Objective-C++
2020;61;23;Objective-C++
2021;0;0;Objective-C++
2022;0;0;Objective-C++
2023;0;0;Objective-C++
2024;0;0;Objective-C++
2025;0;0;Objective-C++
2012;0;0;PHP
2013;0;0;PHP
2014;143;19;PHP
2015;0;0;PHP
2016;146;39;PHP
2017;81;35;PHP
2018;759;349;PHP
2019;2985;595;PHP
2020;2887;696;PHP
2021;2169;1101;PHP
2022;2319;522;PHP
2023;2464;538;PHP
2024;9426;1610;PHP
2025;11186;2189;PHP
2012;0;0;PLSQL
2013;0;0;PLSQL
2014;0;0;PLSQL
2015;0;0;PLSQL
2016;0;0;PLSQL
2017;55;22;PLSQL
2018;0;0;PLSQL
2019;0;0;PLSQL
2020;0;0;PLSQL
2021;0;0;PLSQL
2022;0;0;PLSQL
2023;0;0;PLSQL
2024;0;0;PLSQL
2025;0;0;PLSQL
2012;0;0;PLpgSQL
2013;0;0;PLpgSQL
2014;0;0;PLpgSQL
2015;0;0;PLpgSQL
2016;0;0;PLpgSQL
2017;0;0;PLpgSQL
2018;453;152;PLpgSQL
2019;46;9;PLpgSQL
2020;0;0;PLpgSQL
2021;131;31;PLpgSQL
2022;0;0;PLpgSQL
2023;797;232;PLpgSQL
2024;0;0;PLpgSQL
2025;0;0;PLpgSQL
2012;0;0;Pascal
2013;0;0;Pascal
2014;0;0;Pascal
2015;0;0;Pascal
2016;0;0;Pascal
2017;0;0;Pascal
2018;0;0;Pascal
2019;71;27;Pascal
2020;0;0;Pascal
2021;86;34;Pascal
2022;0;0;Pascal
2023;0;0;Pascal
2024;0;0;Pascal
2025;0;0;Pascal
2012;0;0;Perl
2013;0;0;Perl
2014;0;0;Perl
2015;0;0;Perl
2016;45;9;Perl
2017;0;0;Perl
2018;0;0;Perl
2019;39;36;Perl
2020;100;57;Perl
2021;0;0;Perl
2022;0;0;Perl
2023;0;0;Perl
2024;0;0;Perl
2025;3084;216;Perl
2012;0;0;PowerShell
2013;0;0;PowerShell
2014;0;0;PowerShell
2015;0;0;PowerShell
2016;0;0;PowerShell
2017;0;0;PowerShell
2018;0;0;PowerShell
2019;0;0;PowerShell
2020;0;0;PowerShell
2021;0;0;PowerShell
2022;0;0;PowerShell
2023;0;0;PowerShell
2024;0;0;PowerShell
2025;2697;852;PowerShell
2012;0;0;Prolog
2013;0;0;Prolog
2014;0;0;Prolog
2015;0;0;Prolog
2016;0;0;Prolog
2017;0;0;Prolog
2018;0;0;Prolog
2019;70;13;Prolog
2020;0;0;Prolog
2021;0;0;Prolog
2022;0;0;Prolog
2023;0;0;Prolog
2024;0;0;Prolog
2025;0;0;Prolog
2012;0;0;Python
2013;0;0;Python
2014;0;0;Python
2015;29;13;Python
2016;0;0;Python
2017;299;49;Python
2018;917;285;Python
2019;4687;548;Python
2020;1579;405;Python
2021;2066;921;Python
2022;9132;2225;Python
2023;5065;653;Python
2024;30231;4414;Python
2025;29893;3493;Python
2012;0;0;R
2013;0;0;R
2014;0;0;R
2015;0;0;R
2016;0;0;R
2017;52;23;R
2018;0;0;R
2019;42;8;R
2020;137;9;R
2021;0;0;R
2022;0;0;R
2023;0;0;R
2024;0;0;R
2025;0;0;R
2012;0;0;Ruby
2013;0;0;Ruby
2014;0;0;Ruby
2015;51;3;Ruby
2016;11;0;Ruby
2017;61;13;Ruby
2018;400;42;Ruby
2019;149;32;Ruby
2020;913;69;Ruby
2021;134;3;Ruby
2022;0;0;Ruby
2023;1118;42;Ruby
2024;8005;801;Ruby
2025;3597;239;Ruby
2012;0;0;Rust
2013;0;0;Rust
2014;0;0;Rust
2015;0;0;Rust
2016;0;0;Rust
2017;346;44;Rust
2018;266;18;Rust
2019;80;1;Rust
2020;1985;109;Rust
2021;2971;261;Rust
2022;2608;185;Rust
2023;5738;285;Rust
2024;13410;835;Rust
2025;33029;2102;Rust
2012;0;0;SQL
2013;0;0;SQL
2014;0;0;SQL
2015;0;0;SQL
2016;0;0;SQL
2017;0;0;SQL
2018;0;0;SQL
2019;41;23;SQL
2020;0;0;SQL
2021;114;45;SQL
2022;0;0;SQL
2023;0;0;SQL
2024;410;63;SQL
2025;0;0;SQL
2012;0;0;SQLPL
2013;0;0;SQLPL
2014;0;0;SQLPL
2015;0;0;SQLPL
2016;0;0;SQLPL
2017;25;12;SQLPL
2018;0;0;SQLPL
2019;0;0;SQLPL
2020;0;0;SQLPL
2021;0;0;SQLPL
2022;0;0;SQLPL
2023;0;0;SQLPL
2024;0;0;SQLPL
2025;0;0;SQLPL
2012;0;0;Scala
2013;10;0;Scala
2014;0;0;Scala
2015;39;7;Scala
2016;0;0;Scala
2017;48;7;Scala
2018;77;3;Scala
2019;0;0;Scala
2020;0;0;Scala
2021;0;0;Scala
2022;0;0;Scala
2023;0;0;Scala
2024;0;0;Scala
2025;2666;619;Scala
2012;0;0;Shell
2013;0;0;Shell
2014;0;0;Shell
2015;0;0;Shell
2016;23;1;Shell
2017;795;161;Shell
2018;318;232;Shell
2019;1205;338;Shell
2020;240;225;Shell
2021;703;293;Shell
2022;310;50;Shell
2023;2718;395;Shell
2024;0;0;Shell
2025;0;0;Shell
2012;0;0;Swift
2013;0;0;Swift
2014;0;0;Swift
2015;0;0;Swift
2016;48;0;Swift
2017;351;35;Swift
2018;1009;136;Swift
2019;477;283;Swift
2020;676;83;Swift
2021;0;0;Swift
2022;1319;88;Swift
2023;0;0;Swift
2024;535;72;Swift
2025;0;0;Swift
2012;0;0;TSQL
2013;0;0;TSQL
2014;0;0;TSQL
2015;0;0;TSQL
2016;0;0;TSQL
2017;0;0;TSQL
2018;0;0;TSQL
2019;344;34;TSQL
2020;40;14;TSQL
2021;0;0;TSQL
2022;0;0;TSQL
2023;0;0;TSQL
2024;0;0;TSQL
2025;0;0;TSQL
2012;0;0;TeX
2013;0;0;TeX
2014;0;0;TeX
2015;0;0;TeX
2016;0;0;TeX
2017;0;0;TeX
2018;0;0;TeX
2019;108;15;TeX
2020;0;0;TeX
2021;0;0;TeX
2022;0;0;TeX
2023;0;0;TeX
